name,cases,year
KAZ,0,2005
KGZ,0,2005
TJK,0,2005
TKM,0,2005
TUR,0,2005
UZB,0,2005
BGD,216,2005
BTN,5,2005
IDN,1789,2005
IND,32599,2005
LKA,0,2005
MMR,2875,2005
NPL,26,2005
PRK,0,2005
THA,161,2005
TLS,304,2005
CHN,48,2005
KHM,705,2005
KOR,0,2005
LAO,86,2005
MYS,33,2005
PHL,167,2005
PNG,2796,2005
SLB,547,2005
VNM,79,2005
VUT,35,2005
AGO,20525,2006
BDI,5506,2006
BEN,12682,2006
BFA,30542,2006
BWA,12,2006
CAF,9918,2006
CMR,19887,2006
COD,115483,2006
COG,2198,2006
COM,89,2006
CPV,8,2006
DZA,0,2006
ERI,36,2006
ETH,13798,2006
GAB,199,2006
GHA,14925,2006
GIN,9672,2006
GMB,441,2006
GNB,716,2006
GNQ,656,2006
KEN,9848,2006
LBR,3470,2006
MDG,1647,2006
MLI,22899,2006
MOZ,28172,2006
MRT,1203,2006
MWI,10095,2006
NAM,174,2006
NER,19018,2006
NGA,232391,2006
RWA,3028,2006
SEN,3943,2006
SLE,10638,2006
SSD,7177,2006
STP,26,2006
SWZ,0,2006
TCD,10030,2006
TGO,6601,2006
TZA,23341,2006
UGA,25471,2006
ZAF,87,2006
ZMB,7262,2006
ZWE,2769,2006
ARG,0,2006
BLZ,1,2006
BOL,14,2006
BRA,110,2006
COL,77,2006
CRI,0,2006
DOM,10,2006
ECU,9,2006
GTM,15,2006
GUY,37,2006
HND,8,2006
HTI,207,2006
MEX,0,2006
NIC,1,2006
PAN,1,2006
PER,52,2006
PRY,0,2006
SLV,0,2006
SUR,1,2006
VEN,33,2006
MAR,0,2006
AFG,222,2006
ARE,0,2006
DJI,5,2006
EGY,0,2006
IRN,1,2006
IRQ,0,2006
OMN,0,2006
PAK,882,2006
SAU,0,2006
SDN,4087,2006
SOM,3308,2006
SYR,0,2006
YEM,3027,2006
ARM,0,2006
AZE,0,2006
GEO,0,2006
KAZ,0,2006
KGZ,0,2006
TJK,0,2006
TKM,0,2006
TUR,0,2006
UZB,0,2006
BGD,139,2006
BTN,7,2006
IDN,2126,2006
IND,27859,2006
LKA,1,2006
MMR,2041,2006
NPL,32,2006
PRK,0,2006
THA,113,2006
TLS,326,2006
CHN,37,2006
KHM,897,2006
KOR,0,2006
LAO,123,2006
MYS,21,2006
PHL,203,2006
PNG,2924,2006
SLB,549,2006
VNM,92,2006
VUT,30,2006
AGO,18237,2007
BDI,5271,2007
BEN,12034,2007
BFA,31272,2007
BWA,3,2007
CAF,9837,2007
CMR,18138,2007
COD,111542,2007
COG,2028,2007
COM,89,2007
CPV,2,2007
DZA,0,2007
ERI,60,2007
ETH,11526,2007
GAB,199,2007
GHA,14426,2007
GIN,9931,2007
GMB,441,2007
GNB,712,2007
GNQ,610,2007
KEN,9792,2007
LBR,3287,2007
MDG,1092,2007
MLI,21311,2007
MOZ,27031,2007
MRT,1210,2007
MWI,10906,2007
NAM,52,2007
NER,19662,2007
NGA,229172,2007
RWA,2926,2007
SEN,3869,2007
SLE,10976,2007
SSD,6815,2007
STP,3,2007
SWZ,0,2007
TCD,10485,2007
TGO,5987,2007
TZA,22162,2007
UGA,24820,2007
ZAF,37,2007
ZMB,6851,2007
ZWE,4326,2007
ARG,0,2007
BLZ,0,2007
BOL,11,2007
BRA,93,2007
COL,68,2007
CRI,0,2007
DOM,17,2007
ECU,8,2007
GTM,6,2007
GUY,19,2007
HND,7,2007
HTI,187,2007
MEX,0,2007
NIC,0,2007
PAN,1,2007
PER,43,2007
PRY,0,2007
SLV,0,2007
SUR,1,2007
VEN,37,2007
MAR,0,2007
AFG,236,2007
ARE,0,2007
DJI,5,2007
EGY,0,2007
IRN,3,2007
IRQ,0,2007
OMN,0,2007
PAK,879,2007
SAU,0,2007
SDN,3688,2007
SOM,2852,2007
SYR,0,2007
YEM,2117,2007
ARM,0,2007
AZE,0,2007
GEO,0,2007
KAZ,0,2007
KGZ,0,2007
TJK,0,2007
TKM,0,2007
TUR,0,2007
UZB,0,2007
BGD,263,2007
BTN,2,2007
IDN,1848,2007
IND,27747,2007
LKA,1,2007
MMR,2555,2007
NPL,39,2007
PRK,0,2007
THA,97,2007
TLS,226,2007
CHN,18,2007
KHM,394,2007
KOR,1,2007
LAO,115,2007
MYS,15,2007
PHL,217,2007
PNG,2675,2007
SLB,310,2007
VNM,53,2007
VUT,36,2007
AGO,15280,2008
BDI,5253,2008
BEN,10694,2008
BFA,33805,2008
BWA,6,2008
CAF,9105,2008
CMR,15930,2008
COD,106681,2008
COG,1871,2008
COM,89,2008
CPV,2,2008
DZA,0,2008
ERI,37,2008
ETH,9840,2008
GAB,210,2008
GHA,14759,2008
GIN,10761,2008
GMB,445,2008
GNB,735,2008
GNQ,569,2008
KEN,9714,2008
LBR,3227,2008
MDG,1160,2008
MLI,18710,2008
MOZ,26418,2008
MRT,1231,2008
MWI,11431,2008
NAM,30,2008
NER,20669,2008
NGA,221424,2008
RWA,2882,2008
SEN,3904,2008
SLE,12609,2008
SSD,6644,2008
STP,16,2008
SWZ,0,2008
TCD,10911,2008
TGO,4912,2008
TZA,21803,2008
UGA,27478,2008
ZAF,43,2008
ZMB,6708,2008
ZWE,1864,2008
ARG,0,2008
BLZ,0,2008
BOL,6,2008
BRA,68,2008
COL,54,2008
CRI,0,2008
DOM,11,2008
ECU,5,2008
GTM,3,2008
GUY,23,2008
HND,6,2008
HTI,229,2008
MEX,0,2008
NIC,0,2008
PAN,1,2008
PER,34,2008
PRY,0,2008
SLV,0,2008
SUR,0,2008
VEN,26,2008
MAR,0,2008
AFG,198,2008
ARE,0,2008
DJI,5,2008
EGY,0,2008
IRN,3,2008
IRQ,0,2008
OMN,0,2008
PAK,679,2008
SAU,0,2008
SDN,3129,2008
SOM,1841,2008
SYR,0,2008
YEM,1361,2008
ARM,0,2008
AZE,0,2008
GEO,0,2008
KAZ,0,2008
KGZ,0,2008
TJK,0,2008
TKM,0,2008
TUR,0,2008
UZB,0,2008
BGD,264,2008
BTN,2,2008
IDN,1873,2008
IND,29894,2008
LKA,0,2008
MMR,3222,2008
NPL,25,2008
PRK,0,2008
THA,101,2008
TLS,271,2008
CHN,23,2008
KHM,497,2008
KOR,0,2008
LAO,104,2008
MYS,20,2008
PHL,143,2008
PNG,2498,2008
SLB,182,2008
VNM,37,2008
VUT,37,2008
AGO,13342,2009
BDI,5188,2009
BEN,9508,2009
BFA,36176,2009
BWA,6,2009
CAF,8528,2009
CMR,14457,2009
COD,101421,2009
COG,1828,2009
COM,89,2009
CPV,2,2009
DZA,0,2009
ERI,41,2009
ETH,14838,2009
GAB,226,2009
GHA,15721,2009
GIN,12350,2009
GMB,450,2009
GNB,774,2009
GNQ,535,2009
KEN,9855,2009
LBR,3046,2009
MDG,2182,2009
MLI,17255,2009
MOZ,26467,2009
MRT,1262,2009
MWI,11379,2009
NAM,20,2009
NER,22734,2009
NGA,210258,2009
RWA,2854,2009
SEN,3917,2009
SLE,14149,2009
SSD,6342,2009
STP,23,2009
SWZ,0,2009
TCD,11455,2009
TGO,4142,2009
TZA,21608,2009
UGA,29622,2009
ZAF,45,2009
ZMB,6701,2009
ZWE,2276,2009
ARG,0,2009
BLZ,0,2009
BOL,6,2009
BRA,85,2009
COL,28,2009
CRI,1,2009
DOM,14,2009
ECU,6,2009
GTM,3,2009
GUY,28,2009
HND,8,2009
HTI,214,2009
MEX,0,2009
NIC,0,2009
PAN,0,2009
PER,31,2009
PRY,0,2009
SLV,0,2009
SUR,0,2009
VEN,36,2009
MAR,0,2009
AFG,139,2009
ARE,0,2009
DJI,6,2009
EGY,0,2009
IRN,0,2009
IRQ,0,2009
OMN,0,2009
PAK,1000,2009
SAU,0,2009
SDN,2866,2009
SOM,1152,2009
SYR,0,2009
YEM,1779,2009
ARM,0,2009
AZE,0,2009
GEO,0,2009
KAZ,0,2009
KGZ,0,2009
TJK,0,2009
TKM,0,2009
TUR,0,2009
UZB,0,2009
BGD,158,2009
BTN,4,2009
IDN,1898,2009
IND,32006,2009
LKA,0,2009
MMR,3023,2009
NPL,21,2009
PRK,0,2009
THA,70,2009
TLS,198,2009
CHN,10,2009
KHM,853,2009
KOR,1,2009
LAO,120,2009
MYS,23,2009
PHL,116,2009
PNG,3367,2009
SLB,142,2009
VNM,47,2009
VUT,22,2009
AGO,12398,2010
BDI,5051,2010
BEN,8632,2010
BFA,35034,2010
BWA,5,2010
CAF,7803,2010
CMR,13328,2010
COD,91831,2010
COG,1835,2010
COM,92,2010
CPV,1,2010
DZA,1,2010
ERI,161,2010
ETH,17096,2010
GAB,252,2010
GHA,15810,2010
GIN,13286,2010
GMB,470,2010
GNB,806,2010
GNQ,598,2010
KEN,10033,2010
LBR,2862,2010
MDG,2208,2010
MLI,17241,2010
MOZ,26605,2010
MRT,1290,2010
MWI,10951,2010
NAM,6,2010
NER,24628,2010
NGA,197589,2010
RWA,2871,2010
SEN,3908,2010
SLE,15137,2010
SSD,6037,2010
STP,14,2010
SWZ,0,2010
TCD,11829,2010
TGO,3917,2010
TZA,21475,2010
UGA,27679,2010
ZAF,83,2010
ZMB,6770,2010
ZWE,2810,2010
ARG,0,2010
BLZ,0,2010
BOL,10,2010
BRA,76,2010
COL,42,2010
CRI,0,2010
DOM,15,2010
ECU,0,2010
GTM,3,2010
GUY,51,2010
HND,7,2010
HTI,218,2010
MEX,0,2010
NIC,1,2010
PAN,1,2010
PER,20,2010
PRY,0,2010
SLV,0,2010
SUR,1,2010
VEN,53,2010
MAR,0,2010
AFG,165,2010
ARE,0,2010
DJI,2,2010
EGY,0,2010
IRN,0,2010
IRQ,0,2010
OMN,0,2010
PAK,1616,2010
SAU,0,2010
SDN,2770,2010
SOM,1347,2010
SYR,0,2010
YEM,2866,2010
ARM,0,2010
AZE,0,2010
GEO,0,2010
KAZ,0,2010
KGZ,0,2010
TJK,0,2010
TKM,0,2010
TUR,0,2010
UZB,0,2010
BGD,166,2010
BTN,2,2010
IDN,3485,2010
IND,30522,2010
LKA,0,2010
MMR,4849,2010
NPL,27,2010
PRK,0,2010
THA,80,2010
TLS,198,2010
CHN,19,2010
KHM,644,2010
KOR,1,2010
LAO,109,2010
MYS,13,2010
PHL,113,2010
PNG,2343,2010
SLB,163,2010
VNM,45,2010
VUT,27,2010
AGO,11832,2011
BDI,4773,2011
BEN,8348,2011
BFA,33208,2011
BWA,1,2011
CAF,7045,2011
CMR,12280,2011
COD,79887,2011
COG,1870,2011
COM,62,2011
CPV,1,2011
DZA,0,2011
ERI,141,2011
ETH,15005,2011
GAB,283,2011
GHA,16841,2011
GIN,13841,2011
GMB,480,2011
GNB,812,2011
GNQ,617,2011
KEN,10371,2011
LBR,2738,2011
MDG,2035,2011
MLI,19701,2011
MOZ,25707,2011
MRT,1317,2011
MWI,9903,2011
NAM,7,2011
NER,25514,2011
NGA,184090,2011
RWA,2820,2011
SEN,3873,2011
SLE,14951,2011
SSD,5784,2011
STP,19,2011
SWZ,0,2011
TCD,11550,2011
TGO,3917,2011
TZA,21130,2011
UGA,24423,2011
ZAF,54,2011
ZMB,7076,2011
ZWE,1837,2011
ARG,0,2011
BLZ,0,2011
BOL,4,2011
BRA,70,2011
COL,23,2011
CRI,0,2011
DOM,10,2011
ECU,0,2011
GTM,2,2011
GUY,72,2011
HND,5,2011
HTI,208,2011
MEX,0,2011
NIC,1,2011
PAN,0,2011
PER,19,2011
PRY,0,2011
SLV,0,2011
SUR,1,2011
VEN,47,2011
MAR,0,2011
AFG,192,2011
ARE,0,2011
DJI,5,2011
EGY,0,2011
IRN,0,2011
IRQ,0,2011
OMN,0,2011
PAK,1814,2011
SAU,0,2011
SDN,2820,2011
SOM,1128,2011
SYR,0,2011
YEM,2015,2011
ARM,0,2011
AZE,0,2011
GEO,0,2011
KAZ,0,2011
KGZ,0,2011
TJK,0,2011
TKM,0,2011
TUR,0,2011
UZB,0,2011
BGD,155,2011
BTN,1,2011
IDN,3123,2011
IND,25646,2011
LKA,0,2011
MMR,3214,2011
NPL,12,2011
PRK,0,2011
THA,43,2011
TLS,69,2011
CHN,33,2011
KHM,641,2011
KOR,2,2011
LAO,73,2011
MYS,12,2011
PHL,47,2011
PNG,2030,2011
SLB,108,2011
VNM,36,2011
VUT,14,2011
AGO,11461,2012
BDI,4664,2012
BEN,8738,2012
BFA,30247,2012
BWA,0,2012
CAF,6770,2012
CMR,12327,2012
COD,67528,2012
COG,1897,2012
COM,125,2012
CPV,0,2012
DZA,0,2012
ERI,85,2012
ETH,17579,2012
GAB,318,2012
GHA,16282,2012
GIN,13703,2012
GMB,487,2012
GNB,797,2012
GNQ,667,2012
KEN,10372,2012
LBR,2574,2012
MDG,3941,2012
MLI,22890,2012
MOZ,24925,2012
MRT,1337,2012
MWI,8978,2012
NAM,13,2012
NER,25584,2012
NGA,173305,2012
RWA,2778,2012
SEN,3792,2012
SLE,14051,2012
SSD,5687,2012
STP,7,2012
SWZ,1,2012
TCD,11321,2012
TGO,4389,2012
TZA,20707,2012
UGA,20233,2012
ZAF,72,2012
ZMB,7388,2012
ZWE,1512,2012
ARG,0,2012
BLZ,0,2012
BOL,4,2012
BRA,60,2012
COL,24,2012
CRI,0,2012
DOM,8,2012
ECU,0,2012
GTM,2,2012
GUY,76,2012
HND,4,2012
HTI,167,2012
MEX,0,2012
NIC,2,2012
PAN,1,2012
PER,24,2012
PRY,0,2012
SLV,0,2012
SUR,0,2012
VEN,56,2012
MAR,0,2012
AFG,92,2012
ARE,0,2012
DJI,5,2012
EGY,0,2012
IRN,0,2012
IRQ,0,2012
OMN,0,2012
PAK,1703,2012
SAU,0,2012
SDN,2932,2012
SOM,1162,2012
SYR,0,2012
YEM,2197,2012
ARM,0,2012
AZE,0,2012
GEO,0,2012
KAZ,0,2012
KGZ,0,2012
TJK,0,2012
TKM,0,2012
TUR,0,2012
UZB,0,2012
BGD,85,2012
BTN,1,2012
IDN,3081,2012
IND,20372,2012
LKA,0,2012
MMR,3412,2012
NPL,10,2012
PRK,0,2012
THA,37,2012
TLS,10,2012
CHN,0,2012
KHM,383,2012
KOR,0,2012
LAO,174,2012
MYS,12,2012
PHL,35,2012
PNG,2694,2012
SLB,89,2012
VNM,41,2012
VUT,0,2012
AGO,11586,2013
BDI,4535,2013
BEN,9774,2013
BFA,25694,2013
BWA,1,2013
CAF,6361,2013
CMR,12467,2013
COD,59293,2013
COG,2015,2013
COM,135,2013
CPV,0,2013
DZA,0,2013
ERI,88,2013
ETH,21978,2013
GAB,360,2013
GHA,15540,2013
GIN,12504,2013
GMB,493,2013
GNB,783,2013
GNQ,735,2013
KEN,10439,2013
LBR,2737,2013
MDG,3701,2013
MLI,24431,2013
MOZ,25213,2013
MRT,1358,2013
MWI,7853,2013
NAM,20,2013
NER,24706,2013
NGA,168902,2013
RWA,2762,2013
SEN,3834,2013
SLE,12628,2013
SSD,5736,2013
STP,11,2013
SWZ,1,2013
TCD,11158,2013
TGO,5042,2013
TZA,21522,2013
UGA,16421,2013
ZAF,105,2013
ZMB,7827,2013
ZWE,2205,2013
ARG,0,2013
BLZ,0,2013
BOL,6,2013
BRA,40,2013
COL,10,2013
CRI,0,2013
DOM,5,2013
ECU,0,2013
GTM,2,2013
GUY,90,2013
HND,5,2013
HTI,160,2013
MEX,0,2013
NIC,0,2013
PAN,0,2013
PER,45,2013
PRY,0,2013
SLV,0,2013
SUR,1,2013
VEN,105,2013
MAR,0,2013
AFG,129,2013
ARE,0,2013
DJI,4,2013
EGY,0,2013
IRN,0,2013
IRQ,0,2013
OMN,0,2013
PAK,1197,2013
SAU,0,2013
SDN,3174,2013
SOM,1396,2013
SYR,0,2013
